algorithm,time,likelihood
bdmmprime,4444.335,-26943.865891060497
bdmmprime,4437.646,-27045.27677126799
bdmmprime_parallelized,3149.673,-25993.542086810154
bdmmprime_parallelized,1657.54,-26313.259934364516
bdmmflow,610.377,-25902.774245673285
bdmmflow,684.203,-25707.2812828043
bdmmflow_inverse,632.388,-27346.632462170062
bdmmflow_inverse,632.388,-27346.632462170062
bdmmflow_random,557.212,-28757.494447713525
bdmmflow_random,533.412,-27362.126264134564
bdmmflow_random_inverse,548.944,-29512.92995122642